timestamp,power_w,temperature_c,gpu_util_pct,memory_used_mib,graphics_clock_mhz,memory_clock_mhz
2026/07/30 23:13:45.823, 14.86, 42, 0, 768, 180, 405
2026/07/30 23:13:46.900, 84.25, 43, 0, 92977, 2610, 13365
2026/07/30 23:13:47.978, 104.69, 43, 84, 92977, 2617, 13365
2026/07/30 23:13:49.057, 104.97, 44, 84, 92977, 2617, 13365
2026/07/30 23:13:50.129, 104.53, 44, 84, 92977, 2617, 13365
2026/07/30 23:13:51.202, 104.53, 44, 83, 92977, 2617, 13365
2026/07/30 23:13:52.274, 104.93, 44, 83, 92977, 2617, 13365
2026/07/30 23:13:53.342, 112.49, 43, 0, 752, 2617, 13365
